epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8796,2.53997,1.92267,1.39997,0.6448,0.49142,0.4392,0.24702,2.30708,1.62389,1.28839,0.000369052,0.000369052,0.000369052
2,91.2643,2.23662,1.51681,1.2464,0.65468,0.57973,0.50583,0.28478,2.14074,1.5121,1.21662,0.000732065,0.000732065,0.000732065
3,135.928,2.16107,1.46315,1.2209,0.67568,0.60234,0.56352,0.30533,2.07282,1.4059,1.17428,0.00108775,0.00108775,0.00108775
4,179.927,2.14821,1.44001,1.21559,0.70706,0.62407,0.5713,0.3088,2.07787,1.3811,1.1855,0.001078,0.001078,0.001078
5,223.571,2.07171,1.37795,1.18744,0.70638,0.64123,0.59311,0.33429,2.05632,1.3459,1.15978,0.001067,0.001067,0.001067
6,267.007,2.059,1.38452,1.18684,0.72751,0.64195,0.6082,0.34142,1.98724,1.29283,1.14111,0.00105601,0.00105601,0.00105601
7,310.775,2.01605,1.36242,1.16527,0.72689,0.68099,0.63495,0.36447,1.99553,1.23705,1.13321,0.00104501,0.00104501,0.00104501
8,354.725,1.98147,1.33113,1.15267,0.74279,0.67953,0.62783,0.3588,1.96134,1.24691,1.12491,0.00103401,0.00103401,0.00103401
9,398.512,1.9522,1.32544,1.15262,0.74888,0.6957,0.64248,0.37657,1.87123,1.18927,1.10458,0.00102301,0.00102301,0.00102301
10,442.13,1.93858,1.29278,1.13661,0.72664,0.67589,0.63182,0.36605,1.90482,1.21703,1.12062,0.00101201,0.00101201,0.00101201
11,485.806,1.90799,1.27023,1.13105,0.74486,0.70911,0.66562,0.39227,1.82816,1.15833,1.08786,0.00100101,0.00100101,0.00100101
12,529.733,1.86103,1.24591,1.11458,0.75213,0.70145,0.66013,0.38785,1.82052,1.16624,1.08604,0.000990012,0.000990012,0.000990012
13,573.761,1.85116,1.22778,1.10637,0.74791,0.71074,0.65577,0.38016,1.82161,1.14056,1.08677,0.000979013,0.000979013,0.000979013
14,617.706,1.81878,1.21932,1.10637,0.76752,0.71065,0.68628,0.41109,1.76657,1.11663,1.06658,0.000968014,0.000968014,0.000968014
15,661.612,1.80045,1.21724,1.10297,0.7644,0.72263,0.68209,0.40339,1.78979,1.1368,1.06788,0.000957015,0.000957015,0.000957015
16,705.22,1.80555,1.20991,1.10204,0.74277,0.71133,0.66627,0.40547,1.76326,1.11946,1.06548,0.000946016,0.000946016,0.000946016
17,748.872,1.78041,1.1893,1.09236,0.76267,0.73043,0.69724,0.4206,1.71846,1.09699,1.05401,0.000935018,0.000935018,0.000935018
18,792.582,1.75524,1.15991,1.08229,0.76799,0.72826,0.68526,0.41764,1.70563,1.10246,1.04867,0.000924019,0.000924019,0.000924019
19,838.678,1.7423,1.16248,1.08391,0.75711,0.72782,0.69285,0.42501,1.7269,1.09373,1.05468,0.00091302,0.00091302,0.00091302
20,885.271,1.72832,1.15858,1.08092,0.76303,0.73836,0.68266,0.41822,1.70188,1.0868,1.05512,0.000902021,0.000902021,0.000902021
21,930.319,1.72939,1.15259,1.08003,0.74452,0.73247,0.68905,0.42324,1.68225,1.08363,1.05134,0.000891022,0.000891022,0.000891022
22,973.975,1.70014,1.12536,1.06784,0.74745,0.74598,0.69838,0.42286,1.69861,1.08912,1.05253,0.000880023,0.000880023,0.000880023
23,1017.98,1.68012,1.14249,1.06835,0.78024,0.70572,0.69752,0.4284,1.66278,1.09276,1.04328,0.000869024,0.000869024,0.000869024
24,1063.48,1.67445,1.1071,1.06074,0.76394,0.73646,0.71231,0.44258,1.64542,1.05682,1.03855,0.000858025,0.000858025,0.000858025
25,1109.89,1.68347,1.10268,1.05567,0.77656,0.73814,0.70917,0.43772,1.60739,1.04162,1.02339,0.000847026,0.000847026,0.000847026
26,1156.28,1.64181,1.09277,1.05315,0.78396,0.73614,0.71524,0.43984,1.62566,1.02653,1.0345,0.000836027,0.000836027,0.000836027
27,1202.69,1.66452,1.07953,1.04671,0.77601,0.7335,0.70973,0.4424,1.6301,1.03757,1.03694,0.000825029,0.000825029,0.000825029
28,1248.05,1.6482,1.07808,1.04703,0.77465,0.73638,0.70474,0.43438,1.64578,1.03861,1.03694,0.00081403,0.00081403,0.00081403
